,latitude,longitude,timestamp,coordinates
0,18.4946,115.3192,1563193841.0,POINT (115.3192 18.4946)
1,19.0085,115.746,1563193851.0,POINT (115.746 19.0085)
2,19.4969,116.1551,1563193861.0,POINT (116.1551 19.4969)
3,19.9842,116.5671,1563193871.0,POINT (116.5671 19.9842)
4,20.4703,116.9818,1563193881.0,POINT (116.9818 20.4703)
5,20.9552,117.3994,1563193891.0,POINT (117.3994 20.9552)
6,21.4631,117.8412,1563193902.0,POINT (117.8412 21.4631)
7,21.9455,118.2651,1563193912.0,POINT (118.2651 21.9455)
8,22.4265,118.6922,1563193922.0,POINT (118.6922 22.4265)
9,22.9062,119.1225,1563193932.0,POINT (119.1225 22.9062)
10,23.4084,119.578,1563193942.0,POINT (119.578 23.4084)
11,23.8852,120.0153,1563193952.0,POINT (120.0153 23.8852)
12,24.3604,120.4562,1563193962.0,POINT (120.4562 24.3604)
13,24.8343,120.9008,1563193972.0,POINT (120.9008 24.8343)
14,25.33,121.3716,1563193983.0,POINT (121.3716 25.33)
15,25.8005,121.824,1563193993.0,POINT (121.824 25.8005)
16,26.2693,122.2802,1563194003.0,POINT (122.2802 26.2693)
17,26.7364,122.7405,1563194013.0,POINT (122.7405 26.7364)
18,27.2249,123.2284,1563194024.0,POINT (123.2284 27.2249)
19,27.6882,123.6973,1563194034.0,POINT (123.6973 27.6882)
20,28.1497,124.1706,1563194044.0,POINT (124.1706 28.1497)
21,28.6094,124.6485,1563194054.0,POINT (124.6485 28.6094)
22,29.0898,125.1551,1563194064.0,POINT (125.1551 29.0898)
23,29.5452,125.6424,1563194074.0,POINT (125.6424 29.5452)
24,29.9986,126.1345,1563194084.0,POINT (126.1345 29.9986)
25,30.4497,126.6315,1563194094.0,POINT (126.6315 30.4497)
26,30.921,127.1587,1563194105.0,POINT (127.1587 30.921)
27,31.3675,127.6661,1563194115.0,POINT (127.6661 31.3675)
28,31.8117,128.1788,1563194125.0,POINT (128.1788 31.8117)
29,32.2535,128.6969,1563194135.0,POINT (128.6969 32.2535)
30,32.7146,129.2467,1563194145.0,POINT (129.2467 32.7146)
31,33.1511,129.776,1563194155.0,POINT (129.776 33.1511)
32,33.585,130.3111,1563194165.0,POINT (130.3111 33.585)
33,34.0378,130.8793,1563194176.0,POINT (130.8793 34.0378)
34,34.4661,131.4265,1563194186.0,POINT (131.4265 34.4661)
35,34.8916,131.9797,1563194196.0,POINT (131.9797 34.8916)
36,35.3142,132.5392,1563194206.0,POINT (132.5392 35.3142)
37,35.7546,133.1334,1563194217.0,POINT (133.1334 35.7546)
38,36.1709,133.7059,1563194227.0,POINT (133.7059 36.1709)
39,36.584,134.285,1563194237.0,POINT (134.285 36.584)
40,36.9939,134.8708,1563194247.0,POINT (134.8708 36.9939)
41,37.4207,135.4932,1563194257.0,POINT (135.4932 37.4207)
42,37.8237,136.0931,1563194267.0,POINT (136.0931 37.8237)
43,38.2232,136.7,1563194277.0,POINT (136.7 38.2232)
44,38.6387,137.3449,1563194288.0,POINT (137.3449 38.6387)
45,39.0307,137.9666,1563194298.0,POINT (137.9666 39.0307)
46,39.4189,138.5957,1563194308.0,POINT (138.5957 39.4189)
47,39.8031,139.2322,1563194318.0,POINT (139.2322 39.8031)
48,40.2023,139.9088,1563194328.0,POINT (139.9088 40.2023)
49,40.5782,140.561,1563194338.0,POINT (140.561 40.5782)
50,40.95,141.2211,1563194348.0,POINT (141.2211 40.95)
51,41.3175,141.8891,1563194358.0,POINT (141.8891 41.3175)
52,41.6985,142.5991,1563194369.0,POINT (142.5991 41.6985)
53,42.0569,143.2838,1563194379.0,POINT (143.2838 42.0569)
54,42.4106,143.9765,1563194389.0,POINT (143.9765 42.4106)
55,42.7595,144.6776,1563194399.0,POINT (144.6776 42.7595)
56,43.1206,145.4227,1563194409.0,POINT (145.4227 43.1206)
57,43.4595,146.1411,1563194419.0,POINT (146.1411 43.4595)
58,43.7933,146.8681,1563194430.0,POINT (146.8681 43.7933)
59,44.1219,147.6036,1563194440.0,POINT (147.6036 44.1219)
60,44.4612,148.3852,1563194450.0,POINT (148.3852 44.4612)
61,44.7787,149.1385,1563194460.0,POINT (149.1385 44.7787)
62,45.0906,149.9004,1563194470.0,POINT (149.9004 45.0906)
63,45.4119,150.71,1563194481.0,POINT (150.71 45.4119)
64,45.7121,151.4901,1563194491.0,POINT (151.4901 45.7121)
65,46.0062,152.2789,1563194501.0,POINT (152.2789 46.0062)
66,46.2943,153.0765,1563194511.0,POINT (153.0765 46.2943)
67,46.59,153.9234,1563194521.0,POINT (153.9234 46.59)
68,46.8652,154.739,1563194531.0,POINT (154.739 46.8652)
69,47.1339,155.5633,1563194541.0,POINT (155.5633 47.1339)
70,47.396,156.3965,1563194551.0,POINT (156.3965 47.396)
71,47.664,157.2806,1563194562.0,POINT (157.2806 47.664)
72,47.9121,158.1314,1563194572.0,POINT (158.1314 47.9121)
73,48.1533,158.9907,1563194582.0,POINT (158.9907 48.1533)
74,48.3874,159.8584,1563194592.0,POINT (159.8584 48.3874)
75,48.6254,160.7785,1563194602.0,POINT (160.7785 48.6254)
76,48.8445,161.663,1563194612.0,POINT (161.663 48.8445)
77,49.0561,162.5555,1563194622.0,POINT (162.5555 49.0561)
78,49.2601,163.456,1563194633.0,POINT (163.456 49.2601)
79,49.466,164.4098,1563194643.0,POINT (164.4098 49.466)
80,49.654,165.3258,1563194653.0,POINT (165.3258 49.654)
81,49.834,166.2492,1563194663.0,POINT (166.2492 49.834)
82,50.0144,167.2262,1563194674.0,POINT (167.2262 50.0144)
83,50.1777,168.1638,1563194684.0,POINT (168.1638 50.1777)
84,50.3404,169.1554,1563194694.0,POINT (169.1554 50.3404)
85,50.4866,170.1062,1563194704.0,POINT (170.1062 50.4866)
86,50.6244,171.063,1563194714.0,POINT (171.063 50.6244)
87,50.7535,172.0254,1563194724.0,POINT (172.0254 50.7535)
88,50.8798,173.0418,1563194735.0,POINT (173.0418 50.8798)
89,50.9911,174.0153,1563194745.0,POINT (174.0153 50.9911)
90,51.0935,174.9932,1563194755.0,POINT (174.9932 51.0935)
91,51.187,175.9754,1563194765.0,POINT (175.9754 51.187)
92,51.2755,177.011,1563194775.0,POINT (177.011 51.2755)
93,51.3505,178.0009,1563194785.0,POINT (178.0009 51.3505)
94,51.4164,178.994,1563194795.0,POINT (178.994 51.4164)
95,51.4732,179.9902,1563194805.0,POINT (179.9902 51.4732)
96,51.5229,-178.9615,1563194816.0,POINT (-178.9615 51.5229)
97,51.5608,-177.9611,1563194826.0,POINT (-177.9611 51.5608)
98,51.5895,-176.9593,1563194836.0,POINT (-176.9593 51.5895)
99,51.6088,-175.9562,1563194846.0,POINT (-175.9562 51.6088)
100,51.6191,-174.9021,1563194857.0,POINT (-174.9021 51.6191)
101,51.6194,-173.8981,1563194867.0,POINT (-173.8981 51.6194)
102,51.6104,-172.8943,1563194877.0,POINT (-172.8943 51.6104)
103,51.5921,-171.8911,1563194887.0,POINT (-171.8911 51.5921)
104,51.5629,-170.8388,1563194897.0,POINT (-170.8388 51.5629)
105,51.5256,-169.8382,1563194907.0,POINT (-169.8382 51.5256)
106,51.479,-168.8394,1563194917.0,POINT (-168.8394 51.479)
107,51.4203,-167.7933,1563194928.0,POINT (-167.7933 51.4203)
108,51.3549,-166.7997,1563194938.0,POINT (-166.7997 51.3549)
109,51.2804,-165.8091,1563194948.0,POINT (-165.8091 51.2804)
110,51.1969,-164.822,1563194958.0,POINT (-164.822 51.1969)
111,51.0995,-163.7899,1563194968.0,POINT (-163.7899 51.0995)
112,50.9976,-162.8116,1563194978.0,POINT (-162.8116 50.9976)
113,50.8868,-161.8378,1563194988.0,POINT (-161.8378 50.8868)
114,50.7672,-160.869,1563194998.0,POINT (-160.869 50.7672)
115,50.6323,-159.8575,1563195009.0,POINT (-159.8575 50.6323)
116,50.4951,-158.9,1563195019.0,POINT (-158.9 50.4951)
117,50.3492,-157.9484,1563195029.0,POINT (-157.9484 50.3492)
118,50.195,-157.0031,1563195039.0,POINT (-157.0031 50.195)
119,50.0241,-156.0175,1563195050.0,POINT (-156.0175 50.0241)
120,49.8529,-155.0859,1563195060.0,POINT (-155.0859 49.8529)
121,49.6737,-154.1612,1563195070.0,POINT (-154.1612 49.6737)
122,49.4864,-153.244,1563195080.0,POINT (-153.244 49.4864)
123,49.2813,-152.2887,1563195090.0,POINT (-152.2887 49.2813)
124,49.078,-151.3869,1563195100.0,POINT (-151.3869 49.078)
125,48.867,-150.4928,1563195110.0,POINT (-150.4928 48.867)
126,48.6486,-149.6068,1563195120.0,POINT (-149.6068 48.6486)
127,48.4112,-148.6853,1563195131.0,POINT (-148.6853 48.4112)
128,48.1777,-147.8162,1563195141.0,POINT (-147.8162 48.1777)
129,47.9371,-146.9554,1563195151.0,POINT (-146.9554 47.9371)
130,47.6894,-146.1028,1563195161.0,POINT (-146.1028 47.6894)
131,47.4219,-145.2171,1563195171.0,POINT (-145.2171 47.4219)
132,47.1602,-144.3824,1563195181.0,POINT (-144.3824 47.1602)
133,46.892,-143.5564,1563195191.0,POINT (-143.5564 46.892)
134,46.6172,-142.7392,1563195201.0,POINT (-142.7392 46.6172)
135,46.3218,-141.8905,1563195212.0,POINT (-141.8905 46.3218)
136,46.0341,-141.0913,1563195222.0,POINT (-141.0913 46.0341)
137,45.7403,-140.301,1563195232.0,POINT (-140.301 45.7403)
138,45.4253,-139.4805,1563195242.0,POINT (-139.4805 45.4253)
139,45.1193,-138.708,1563195253.0,POINT (-138.708 45.1193)
140,44.8076,-137.9444,1563195263.0,POINT (-137.9444 44.8076)
141,44.4902,-137.1894,1563195273.0,POINT (-137.1894 44.4902)
142,44.1511,-136.4061,1563195283.0,POINT (-136.4061 44.1511)
143,43.8227,-135.6691,1563195293.0,POINT (-135.6691 43.8227)
144,43.489,-134.9406,1563195303.0,POINT (-134.9406 43.489)
145,43.1332,-134.185,1563195314.0,POINT (-134.185 43.1332)
146,42.7891,-133.4739,1563195324.0,POINT (-133.4739 42.7891)
147,42.4402,-132.7713,1563195334.0,POINT (-132.7713 42.4402)
148,42.0865,-132.0769,1563195344.0,POINT (-132.0769 42.0865)
149,41.7101,-131.3567,1563195354.0,POINT (-131.3567 41.7101)
150,41.3469,-130.679,1563195364.0,POINT (-130.679 41.3469)
151,40.9793,-130.0095,1563195374.0,POINT (-130.0095 40.9793)
152,40.6074,-129.3478,1563195384.0,POINT (-129.3478 40.6074)
153,40.2123,-128.6615,1563195395.0,POINT (-128.6615 40.2123)
154,39.8127,-127.9838,1563195405.0,POINT (-127.9838 39.8127)
155,39.4087,-127.3145,1563195416.0,POINT (-127.3145 39.4087)
156,39.0199,-126.6847,1563195426.0,POINT (-126.6847 39.0199)
